,artist,tempo,duration,loudness
64,Linkin Park,125.36851190476193,219981.04761904763,-4.9955952380952375
65,Keane,131.86853846153846,225740.23076923078,-5.555923076923078
66,Maroon 5,140.459,210249.5,-6.8505
67,Fujii Kaze,128.51817647058826,248029.29411764705,-7.010058823529413
68,AC/DC,131.23232,253060.96,-4.7036
69,Alec Benjamin,119.46755555555556,176295.27777777778,-6.0713333333333335
70,Panic! At The Disco,126.98057142857144,199009.2857142857,-4.335142857142857
71,Bon Jovi,124.41353333333333,287487.5333333333,-4.5633333333333335
72,Twenty One Pilots,106.24975,234306.25,-6.942
73,Adele,123.10790476190475,265429.3095238095,-7.244380952380952
74,Ariana Grande,130.101,196400.55555555556,-6.147777777777779
75,a-ha,111.61724999999998,260954.3,-7.8069999999999995
76,Coldplay,133.667,260034.8,-7.738200000000001
77,BTS,124.83678899082568,228983.54128440368,-4.749908256880734
78,James Arthur,85.043,211466.0,-7.398
79,Frank Ocean,115.32317647058824,243549.58823529413,-9.43935294117647
80,John Legend,120.31566666666667,220794.5,-6.213333333333334
81,Dua Lipa,108.03857142857143,211442.7142857143,-5.275714285714287
82,Yot Club,123.735,212750.0,-7.623
83,Foo Fighters,137.05339130434783,257090.13043478262,-5.387652173913044
84,The White Stripes,118.79920000000001,187384.1,-6.286300000000001
85,Travis Scott,136.1152142857143,212838.0,-5.554571428571428
86,Cigarettes After Sex,106.56837931034484,273937.5172413793,-10.984068965517238
87,Foster The People,127.975,239600.0,-5.849
88,Guns N' Roses,125.55115789473683,323191.8947368421,-7.999842105263158
89,Drake,77.169,198973.0,-9.211
90,Creedence Clearwater Revival,120.193,164668.5,-6.924333333333333
91,Gorillaz,129.924,249399.75,-6.732749999999999
92,Zion & Lennox,95.06,232019.0,-5.899
93,Eagles,105.892875,296873.375,-10.310125
94,Elton John,130.20674193548388,261289.61290322582,-9.290612903225806
95,R.E.M.,109.97,294346.0,-7.751
96,Anitta,121.73,151261.33333333334,-4.9319999999999995
97,Giveon,89.087,198370.0,-8.964
98,Bailey Zimmerman,143.42875,198697.375,-6.0036249999999995
99,Tate McRae,124.148,169265.0,-9.389
100,Kendrick Lamar,144.9835,186475.0,-6.0825
101,Journey,116.94666666666667,249386.33333333334,-7.418166666666667
102,Shubh,118.76425,185576.0,-9.32075
103,Nirvana,132.38263999999998,209295.48,-8.573559999999999
104,MGMT,106.12575000000001,273360.0,-4.247249999999999
105,System Of A Down,119.94950000000001,204569.75,-3.5734999999999997
106,The Goo Goo Dolls,130.4922,244706.4,-7.382
107,"Earth, Wind & Fire",127.54533333333335,277484.3333333333,-9.804
108,AP Dhillon,118.33374999999998,168423.5,-8.30625
109,WALK THE MOON,130.515,217520.0,-4.3165
110,TOTO,92.718,295893.0,-18.064
111,dhruv,103.68022222222221,199862.44444444444,-9.516666666666666
112,Mitski,113.21666666666665,176221.33333333334,-6.929000000000001
113,Vacations,79.935,189160.0,-4.065
114,Hozier,125.88852631578948,240345.36842105264,-7.6032631578947365
115,Cafuné,161.641,175180.33333333334,-5.150666666666667
116,Charlie Puth,141.81680000000003,176087.26666666666,-6.032000000000001
117,Kenshi Yonezu,111.55454545454545,242883.45454545456,-5.248
118,Labrinth,105.5022857142857,158317.14285714287,-7.494571428571429
119,Lord Huron,106.386,244656.75,-8.04175
120,Future,150.062,204600.0,-8.795
121,50 Cent,90.051,193466.0,-2.752
122,Lauv,111.40664285714286,193048.85714285713,-8.050785714285714
